algorithm,time,solutionNr,totalSolutions,steps,score,solution
random,3216,15263,151191,15263,5556786,[23;14;17;25;19;24;9;26;10;16;4;18;20;3;11;2;8;5;21;13;7;12;6;22;1;15]
random,12427,62436,152488,62436,5539068,[13;8;11;17;19;3;12;20;24;4;1;9;18;14;16;15;5;21;7;26;25;2;23;22;10;6]
random,25578,154964,191899,154964,5553706,[12;8;1;7;24;10;3;13;17;21;18;15;19;20;4;6;9;14;5;2;16;25;22;26;23;11]
random,22836,194776,256056,194776,5527929,[23;22;18;19;6;26;10;3;1;16;20;14;2;12;4;25;21;5;9;8;24;17;11;13;15;7]
random,12186,104227,258174,104227,5530357,[2;16;23;6;18;11;8;1;25;10;3;20;19;21;14;15;7;9;5;24;4;13;17;12;22;26]
random,14678,125742,255261,125742,5546516,[14;12;19;7;6;23;16;22;15;9;8;20;18;26;10;4;21;1;5;24;3;17;13;25;11;2]
random,22419,190723,254446,190723,5539645,[26;13;19;23;3;25;24;22;8;1;20;6;7;14;4;16;5;9;21;12;18;2;17;11;10;15]
random,14369,121432,250731,121432,5518721,[7;11;23;6;12;9;25;15;16;3;18;13;19;20;22;1;21;14;5;8;2;4;26;17;24;10]
random,28908,247966,257554,247966,5561535,[24;3;23;13;16;17;2;25;1;12;20;5;19;6;4;18;14;11;9;21;15;22;10;7;8;26]
random,13745,117827,257952,117827,5554192,[25;12;23;7;17;26;2;24;20;18;19;9;5;15;11;3;1;14;4;10;21;16;8;6;13;22]
steepest,15290,75994,151510,75994,5555760,[23;7;25;13;3;16;24;8;15;19;18;9;20;26;6;21;2;14;5;11;22;12;10;4;1;17]
steepest,6701,33086,152400,33086,5538688,[11;15;17;26;25;18;12;22;4;3;5;1;19;21;2;16;14;9;20;8;6;24;10;7;13;23]
steepest,22861,131893,191247,131893,5561204,[13;1;16;15;4;22;14;18;8;2;5;9;21;20;25;24;10;12;19;3;11;23;7;26;6;17]
steepest,9892,83784,255358,83784,5547273,[17;23;26;3;22;8;21;2;6;15;5;19;18;20;4;9;1;7;14;16;11;13;10;24;12;25]
steepest,11886,101598,257988,101598,5555027,[7;24;23;12;22;2;3;17;11;1;14;13;18;19;26;20;4;9;5;6;10;21;8;25;15;16]
steepest,3369,28230,255535,28230,5547372,[22;13;12;4;14;23;7;26;15;21;6;18;24;19;17;20;3;9;5;2;11;16;8;10;1;25]
steepest,6158,51987,254547,51987,5531770,[26;18;17;14;13;11;2;1;21;22;8;19;7;16;3;20;15;5;9;12;6;25;23;10;4;24]
steepest,26297,219108,250411,219108,5554700,[17;25;12;24;14;15;4;21;26;1;8;18;20;19;3;2;9;16;5;10;13;22;23;11;7;6]
steepest,23177,198566,257640,198566,5542205,[8;11;23;6;12;1;2;7;15;17;9;14;21;3;18;4;19;20;5;25;13;16;22;24;26;10]
steepest,22662,194569,257928,194569,5550260,[19;10;4;22;11;17;7;13;15;26;14;12;9;18;21;6;1;20;5;2;16;23;24;8;25;3]
greedy,528,6296,6621,6296,5436888,[2;6;11;13;12;1;15;21;26;4;20;19;7;18;14;16;5;9;3;22;24;8;10;23;17;25]
greedy,647,5917,6242,5917,5444887,[2;6;8;13;11;24;1;7;21;4;20;12;19;18;14;15;5;3;9;16;22;10;26;23;17;25]
greedy,662,5716,6041,5716,5450033,[11;6;21;2;12;3;15;7;26;4;14;19;9;20;13;16;5;1;18;22;8;24;10;23;17;25]
greedy,211,3806,4131,3806,5452529,[1;21;4;23;2;13;12;8;6;11;5;9;3;20;15;14;18;7;19;17;25;10;16;24;22;26]
greedy,222,5412,5737,5412,5441777,[21;13;11;12;8;2;3;26;15;6;9;14;19;18;23;7;20;1;5;25;22;10;24;17;16;4]
greedy,305,6381,6706,6381,5449373,[1;15;23;2;21;11;13;6;12;14;5;9;20;3;4;8;7;19;18;17;10;16;24;25;26;22]
greedy,250,5068,5393,5068,5447890,[15;7;4;11;8;2;12;3;26;18;5;1;20;9;6;13;14;21;19;17;24;16;10;25;22;23]
greedy,294,5563,5888,5563,5437723,[11;2;4;12;7;24;3;15;26;1;9;20;19;18;13;16;21;5;14;6;22;8;23;10;17;25]
greedy,207,4424,4749,4424,5435683,[13;21;2;11;7;3;1;16;26;6;12;9;20;19;8;15;5;14;18;22;24;4;10;23;17;25]
greedy,160,3438,3763,3438,5442350,[13;12;21;23;8;2;3;26;15;7;14;18;9;19;11;4;20;1;5;10;24;25;17;22;16;6]
