algorithm,time,solutionNr,totalSolutions,steps,score,solution
random,22173,507771,692339,507771,1100,[1;2;6;5;10;4;13;7;8;12;3;14;9;11]
random,16631,390334,706210,390334,1078,[9;12;3;1;10;11;8;13;2;6;5;7;14;4]
random,767,17503,623246,17503,1082,[2;13;5;9;12;1;14;8;11;7;4;6;3;10]
random,15083,298279,652753,298279,1072,[4;3;14;5;10;7;13;8;12;6;1;2;11;9]
random,15598,370057,715391,370057,1086,[1;13;9;11;12;3;2;8;7;10;4;14;6;5]
random,19407,456225,709068,456225,1086,[11;12;3;4;10;8;7;2;14;6;9;5;13;1]
random,18673,441454,711763,441454,1090,[6;10;7;5;12;2;13;8;9;11;1;14;4;3]
random,27240,646318,712199,646318,1082,[6;4;14;3;10;1;5;13;9;12;2;7;8;11]
random,20487,484582,711253,484582,1082,[6;1;4;3;10;14;2;13;9;12;5;8;7;11]
random,23207,551025,713750,551025,1082,[1;4;3;14;10;2;7;13;6;12;11;8;9;5]
steepest,6117,129394,692008,129394,1074,[10;6;12;7;5;1;2;13;8;9;4;3;14;11]
steepest,1517,34914,706302,34914,1066,[10;7;3;6;4;5;8;13;2;1;12;11;9;14]
steepest,18139,373518,622274,373518,1094,[1;4;8;11;7;2;13;9;3;12;6;14;5;10]
steepest,28037,605261,652616,605261,1066,[6;14;5;3;10;2;13;8;9;12;1;4;7;11]
steepest,17612,417277,714190,417277,1092,[6;7;5;4;1;12;11;9;13;2;10;8;3;14]
steepest,2577,60505,708225,60505,1100,[5;8;3;4;1;12;11;9;13;2;10;7;6;14]
steepest,1598,37727,711867,37727,1074,[10;1;9;11;12;3;4;13;8;7;6;2;14;5]
steepest,2834,66454,711950,66454,1092,[11;8;7;5;6;3;9;13;12;10;4;1;2;14]
steepest,10019,237134,712168,237134,1082,[6;14;13;2;1;5;7;11;9;4;10;12;8;3]
steepest,14150,334507,712413,334507,1078,[1;2;13;12;9;6;7;14;5;11;10;4;3;8]
greedy,15,318,409,318,1040,[9;13;2;1;6;11;8;14;3;10;12;7;5;4]
greedy,5,290,381,290,1078,[12;5;7;14;6;11;8;13;2;10;9;3;4;1]
greedy,12,536,627,536,1072,[2;1;8;9;11;14;13;7;5;12;6;4;3;10]
greedy,11,470,561,470,1060,[4;14;13;2;1;10;3;12;9;11;6;5;7;8]
greedy,14,752,843,752,1018,[4;3;14;5;6;2;13;8;7;10;1;9;11;12]
greedy,11,602,693,602,1076,[2;14;13;9;12;1;4;3;8;11;10;6;7;5]
greedy,13,709,800,709,1038,[4;3;7;12;10;14;13;8;5;6;1;2;11;9]
greedy,13,486,577,486,1058,[10;5;7;8;12;3;14;13;9;11;4;6;2;1]
greedy,6,374,465,374,1090,[11;9;12;6;10;1;8;7;3;4;2;13;5;14]
greedy,7,290,381,290,1068,[7;11;9;5;12;3;8;13;14;10;4;1;2;6]
