algorithm,time,solutionNr,totalSolutions,steps,score,solution
random,24483,166851,203277,166851,184258,[29;27;5;8;16;24;19;28;15;21;10;4;6;2;23;3;7;14;30;20;9;12;13;1;25;17;26;18;22;11]
random,24074,160616,201365,160616,180416,[20;28;6;22;2;21;8;3;25;18;15;29;9;26;17;10;16;24;4;27;23;19;14;12;30;7;1;5;11;13]
random,8345,56177,205639,56177,182424,[23;16;21;1;6;30;8;28;19;29;3;10;18;20;14;27;12;17;2;9;5;7;22;15;11;24;26;13;4;25]
random,4839,31969,206160,31969,179326,[9;6;12;24;19;23;26;10;28;20;15;27;13;2;14;25;1;17;29;8;18;5;4;11;3;7;21;22;30;16]
random,26564,179292,202504,179292,181950,[2;14;17;26;6;15;18;4;27;9;19;8;28;25;21;23;11;1;13;29;30;20;22;16;7;12;24;5;10;3]
random,28145,188250,200968,188250,183696,[21;7;1;22;17;23;30;2;27;9;5;8;16;24;15;29;10;4;25;18;20;28;14;19;26;11;3;13;6;12]
random,29144,195175,200961,195175,181770,[14;4;26;1;30;17;13;8;3;9;19;7;11;5;27;21;25;12;2;6;29;10;24;16;23;22;28;15;18;20]
random,18723,119707,193278,119707,181718,[10;13;25;27;21;1;16;19;11;3;9;12;18;15;8;20;28;24;7;4;6;23;14;22;2;30;17;29;5;26]
random,14715,95331,195036,95331,184938,[20;21;7;3;15;5;27;9;10;19;22;11;16;25;30;26;18;17;4;24;14;23;13;12;6;8;28;2;1;29]
random,24500,164515,201813,164515,181632,[29;21;16;22;8;25;13;3;24;18;28;20;2;15;17;26;7;4;5;6;14;23;12;10;30;27;9;11;1;19]
steepest,2014,11839,203382,11839,180984,[11;3;25;19;26;1;5;21;10;12;27;20;13;24;6;28;4;30;9;29;15;18;7;22;2;14;17;16;8;23]
steepest,20744,137238,200948,137238,177488,[29;30;8;1;23;24;21;25;9;13;5;28;14;11;16;17;10;18;3;6;7;19;15;22;20;26;4;27;2;12]
steepest,5367,35645,205315,35645,178374,[4;15;6;13;17;26;14;27;18;19;16;30;23;12;22;28;1;7;5;24;9;21;10;25;20;8;2;3;11;29]
steepest,19878,135499,205954,135499,178664,[5;16;4;20;8;7;28;24;11;29;3;13;21;22;14;17;25;30;27;2;18;10;23;12;1;6;26;15;9;19]
steepest,14732,100510,202497,100510,180946,[11;15;29;26;22;4;28;10;16;20;27;19;7;24;2;17;25;1;30;21;9;18;6;13;3;12;14;5;8;23]
steepest,13379,88673,200991,88673,182302,[18;30;19;15;1;24;17;11;4;16;28;6;29;2;26;27;22;21;13;7;9;12;10;8;23;25;14;5;20;3]
steepest,16576,110189,200818,110189,180198,[28;29;2;24;10;25;27;5;17;16;30;12;19;26;1;14;9;7;11;23;20;15;8;22;13;6;4;18;21;3]
steepest,25707,165164,193537,165164,182142,[18;17;3;23;4;13;2;6;27;9;29;22;15;21;5;26;24;10;30;12;7;19;14;20;11;16;28;8;1;25]
steepest,4103,25519,194083,25519,181374,[7;11;30;14;26;21;22;18;27;15;16;1;23;2;28;17;25;3;20;6;29;19;5;8;4;24;13;10;12;9]
steepest,29416,197580,201627,197580,181760,[3;30;6;12;7;22;17;21;16;29;13;10;26;19;15;14;8;20;4;28;18;11;1;24;2;23;5;25;27;9]
greedy,778,12589,13024,12589,156310,[10;9;25;6;15;27;13;11;18;3;30;12;2;26;1;4;24;7;5;19;20;8;28;17;22;14;23;21;16;29]
greedy,656,10452,10887,10452,155946,[18;15;10;30;3;8;1;11;21;19;6;12;26;2;17;28;22;14;23;20;9;13;4;27;25;24;5;7;16;29]
greedy,618,9720,10155,9720,152084,[9;25;12;2;17;28;8;30;19;29;6;13;10;27;26;4;24;1;5;3;18;15;23;21;22;16;14;7;11;20]
greedy,694,11017,11452,11017,154792,[16;8;17;5;1;30;28;4;2;29;23;21;7;11;24;26;10;27;12;9;20;14;22;3;19;15;18;13;6;25]
greedy,389,7665,8100,7665,156222,[18;3;19;11;24;7;5;1;16;29;15;13;30;25;26;22;17;8;21;28;9;6;10;27;4;12;2;14;23;20]
greedy,658,10233,10668,10233,155182,[3;11;7;2;14;21;22;20;6;18;19;1;24;27;28;23;25;13;10;15;29;5;4;17;8;16;26;12;9;30]
greedy,363,6685,7120,6685,157980,[11;5;4;24;1;28;27;25;9;29;20;7;14;22;8;26;10;13;6;12;3;16;23;21;17;30;15;18;2;19]
greedy,447,7230,7665,7230,156494,[3;18;13;6;15;12;2;28;19;29;7;24;27;25;26;22;17;8;14;20;11;5;4;9;10;30;1;21;23;16]
greedy,647,9337,9772,9337,158818,[29;2;28;14;20;25;7;27;9;11;19;1;17;26;22;24;5;4;6;3;15;30;8;12;23;21;16;10;13;18]
greedy,511,8393,8828,8393,157912,[16;21;5;4;27;24;13;7;11;3;23;10;1;17;2;26;6;14;18;19;9;30;8;12;28;25;22;20;15;29]
