algorithm,time,solutionNr,totalSolutions,steps,score,solution
random,19772,46001,73407,46001,53304,[1;9;31;10;22;18;5;47;15;34;38;3;16;4;46;19;29;37;14;21;26;50;32;24;44;48;27;11;33;7;41;35;25;17;49;12;20;13;36;42;30;39;40;6;28;8;43;23;2;45]
random,15893,34201,71922,34201,53136,[40;9;41;32;44;18;1;26;23;13;17;12;20;24;19;3;11;14;48;27;2;47;25;30;6;46;33;31;29;7;35;38;28;39;42;5;21;45;37;22;15;49;10;36;16;4;50;43;34;8]
random,26609,59498,68390,59498,53358,[40;33;32;42;41;15;22;50;46;16;35;5;49;34;14;21;18;28;25;1;12;47;4;19;10;11;3;48;38;6;44;27;24;8;39;30;36;29;26;37;45;17;9;2;43;20;23;31;13;7]
random,1018,2035,68464,2035,53344,[20;42;9;15;11;41;47;25;45;3;7;31;34;39;33;27;5;23;29;1;50;28;36;10;17;43;14;4;37;12;6;48;18;40;8;24;38;44;35;46;21;30;32;26;19;13;16;2;49;22]
random,6715,12717,69474,12717,53344,[27;17;35;8;7;18;20;46;44;15;25;45;48;26;5;31;14;50;33;11;12;29;39;28;38;30;41;43;36;40;13;4;6;10;3;47;34;49;16;23;21;22;2;9;42;24;37;19;32;1]
random,24953,59008,72528,59008,53256,[31;15;1;2;40;45;37;23;18;26;44;50;34;43;11;47;39;4;25;7;35;32;41;12;36;13;24;8;19;20;29;14;10;6;38;48;5;49;21;46;42;22;30;33;17;9;3;16;28;27]
random,3648,7935,70070,7935,53142,[26;14;46;20;30;12;39;15;17;34;25;11;32;45;4;28;37;31;18;23;22;7;35;38;13;44;47;36;43;50;24;49;41;27;16;40;19;8;2;29;42;10;21;1;33;3;6;5;9;48]
random,26862,66631,75077,66631,53394,[2;24;28;26;30;4;41;10;29;46;39;9;15;27;34;6;35;22;42;50;43;20;12;49;8;11;37;21;5;45;19;17;7;32;3;40;16;18;14;44;48;31;25;36;33;38;23;13;1;47]
random,19810,47300,74601,47300,53298,[22;1;6;44;35;14;26;2;25;21;41;16;17;5;18;45;43;12;50;31;29;37;4;36;24;47;39;3;11;15;48;42;10;34;30;8;49;23;19;13;27;33;20;46;38;7;28;40;32;9]
random,20453,46580,72007,46580,53266,[34;13;18;7;19;28;40;29;30;46;17;1;49;2;50;38;8;41;33;27;9;47;5;11;31;39;4;48;21;6;24;23;15;25;32;37;36;14;42;35;20;26;16;44;3;12;43;45;10;22]
